start	end	text
0	4820	Andrzejek
4820	7220	Andrzejek
7220	11500	Myślę, że osiągnął to, co chciał
11500	16780	Jagiełło byłby z niego bardzo dumny
16780	20000	Chociaż nie, nie wiem
20000	22380	Może coś mi się myli
22380	28660	Jagiełło chyba nie był jego kolegą
28660	32560	I raczej nie miał z tą uczelnią wiele wspólnego
32560	34600	To tylko nazwa
34600	36600	Taka nazwa
36600	40700	To był jakiś wielki gość
40700	42780	Bardziej co ją założył
42780	46400	Ale co to ma do rzeczy?
48100	50660	Ale czy Andrzejek go znał?
51600	52560	Chyba nie
52560	54840	Ale nie wiem
54840	59880	Bo Andrzejek raczej nie żył w czternastym wieku
59880	63280	Kto go tam wie?
64280	66380	Mógł odwiedzić czternasty wiek
66380	67360	Ja bym odwiedził
67360	70380	Tego instytutu i tak wtedy nie było
70380	72080	To nowe coś
72080	76360	Ta ulica od matematyka, co wpada w komendanta
76360	78040	To chyba dwudziesty wiek
78040	80780	Ten czas mi się miesza
80780	83420	Wszystko jest takie nowe
83420	87360	To jest nowy, lepszy świat
87360	91220	Podoba ci się świat, w którym żyjesz
91220	93160	Andrzej
93160	96040	Andrzej zawsze był dziwny
96040	100820	Kombinował coś i mówił, że podróże w czasie są możliwe
100820	105300	Razem pracowaliśmy nad tymi podróżami
105300	111440	To wszystko, co teraz się dzieje
111440	115100	I ten stan, w którym jestem
115100	120720	To jest wina tych wszystkich podróży
120720	123180	Tych tematów
123180	125040	Tych rozmów
125040	128980	Ostatecznie nie wiem, czy Andrzej
128980	129680	Niech miał rację
129680	133240	I czy takie podróże są możliwe
133240	139920	Jeśli kiedykolwiek spotkacie takiego podróżnika
139920	141500	Dajcie mi znać
141500	142480	Proszę
142480	146020	To by oznaczało, że jednak nie jestem szalony
146020	154040	Ale jeśli taki ktoś wróci w czasie i pojawi się akurat dziś
154040	156980	To by znaczyło, że ludzie są zagrożeni
156980	159140	Jesteśmy zagrożeni
159140	160720	Andrzej jest zagrożony
160720	161380	Andrzej
161380	163540	Andrzej nie jest zagrożony
163540	164640	Andrzej jest
164640	167720	Andrzej jest zagrożony
167720	178960	Ale jeśli ktoś wróci w czasie i pojawi się akurat dziś
178960	182900	To by znaczyło, że ludzie są zagrożeni
182900	184720	Jesteśmy zagrożeni?
185860	188300	Andrzej jest zagrożony?
189040	192140	Andrzej nie jest zagrożony
192140	196560	To Andrzej jest zagrożeniem
196560	202520	To Andrzej jest zagrożeniem
202520	205840	Andrzej nie jest
205840	211020	Andrzej nie jest zagrożony
211020	215660	Andrzej jest zagrożeniem
