start	end	text
0	2320	Ale wy tak na serio pytacie?
2960	8120	Bo nie znać Andrzeja Maja w naszych kręgach to naprawdę byłoby dziwne.
8480	9500	Tak, znam go.
10300	13280	Podobnie jak pewnie kilka tysięcy innych uczonych go zna.
13840	15820	Andrzej pracował z sieciami neuronowymi.
16160	16740	To prawda.
17400	18680	Był wykładowcą w Krakowie.
19000	19880	To także prawda.
20520	23720	Z tego co wiem, jeszcze przynajmniej pół roku temu tam pracował.
24040	29120	Wydział czy tam Instytut Informatyki i Matematyki Komputerowej, czy jakoś tak.
29120	36420	Nie pamiętam jak się to dokładnie teraz nazywa, ale w każdym razie gość pracował z komputerami i sieciami neuronowymi.
36940	39500	No chyba jesteście w stanie skojarzyć fakty, nie?
40020	42720	Komputery, sieci neuronowe, to się łączy.
43740	45560	Bezpośrednio z nim nie miałam kontaktu.
45820	51120	Może raz na jakimś sympozjum naukowym pogratulowałam mu świetnego wykładu, ale to wszystko co nas łączyło.
51660	54760	Jeden uścisk dłoni, nigdy nie weszliśmy do wspólnego projektu.
55220	57380	Nigdy nie korespondowałam z nim tak naprawdę.
57380	62040	Znam go jako celebrytę ze świata nauki, ale to wszystko co mogę wam powiedzieć.
