start	end	text
0	5360	Może go znałam, a może nie. Kto wie? Zacznijmy od tego, że nie macie prawa mnie tutaj przetrzymywać.
5540	9240	Absolutnie nic złego nie zrobiłam. Trzymacie mnie tutaj niezgodnie z prawem.
10160	13740	Wiem, że teraz wszystko się zmienia na świecie i roboty dyktują, jak ma być,
13920	16780	ale o ile się nie mylę, dawne prawo nadal obowiązuje.
17400	20700	Mamy tutaj jakąś konstytucję, prawda? Chcę rozmawiać z adwokatem.
21960	24680	Maja znałam, to prawda. Było to kilka lat temu.
25020	28280	Pracowaliśmy razem w Warszawie, ale na tym nasza znajomość się skończyła.
28280	31520	Byliśmy w tej samej pracy. Czy to jest jakieś przestępstwo?
31720	36000	To jest coś niedozwolonego w naszym kraju? Za to można wsadzać ludzi do więzienia?
36740	40680	On wjechał z Warszawy. Nie ma go tam. Z tego co wiem, pojechał do Krakowa.
41300	44200	Wykładać tam chciał chyba coś z informatyki czy matematyki.
44720	47200	Nie wiem, jak to się skończyło. Może to były tylko plany?
