start	end	text
0	4620	No pewnie, obserwowałem jego dokonania i muszę przyznać, że zrobił na mnie wrażenie.
5120	10620	Ja mam taką pamięć opartą na wrażeniach i wrażenie mi pozostało po pierwszym spotkaniu.
11540	16240	Nie wiem kiedy to było, ale on był taki, taki nietypowy.
16960	21200	Później zresztą zastanawiałem się, jak to jest możliwe, że robi tak wiele rzeczy.
22420	24260	Nieprzeciętny, ale swój.
25180	27280	No w końcu to Andrzej, naukowiec.
27280	30800	Później chyba zniknął z miejsc, gdzie go śledziłem.
31580	37040	Przy okazji jakiejś konferencji czy eventu chyba widziałem go, ale nie udało mi się z nim porozmawiać.
38120	39980	Nie, nie mamy żadnego kontaktu.
40620	43800	Nie jest moją rodziną, więc dlaczego miałbym ukrywać?
44720	45920	Ja go tylko obserwowałem.
46660	48740	Różnych ludzi się obserwuje.
49200	49960	To nie zbrodnia, prawda?
50840	52320	Kiedy w końcu zostawicie mnie w spokoju?
